comp21 0,2 0,2
comp22 2 2
comp23 0 0
comp24 5 3,5
comp68 1 1,3
comp48 3,5 1,3,5
comp70 1 1,3
comp69 2 0,2
comp71 1 1
comp73 9 9
comp75 0,4 0,4
comp76 10 10
comp124 10 0,10,12
comp128 3 1,3
comp129 0,2 0,2
comp130 0,4 0,4
comp215 10 8,10
comp216 2 0,2,13
comp217 13,15 13,15
comp218 0 0
comp221 4 2,4
comp223 0 0,2
comp224 0 0,2
comp225 2 0,2
comp228 1 1,3
comp229 0 0,2
comp234 9 9,13
comp236 0,2 0,2
comp238 5,7 5,7
comp237 11,13 11,13
comp239 5 1,5
comp241 5 1,5
comp242 5 1,5
comp243 5 1,5
comp244 5 5
comp247 5 1,5
comp248 10 10
comp249 5 5
comp250 5 5
comp252 1,5 1,5
comp255 2,4 0,2,4
comp253 0 0
comp256 2 2
comp257 2 2
comp258 2 2
comp259 2 2
comp296 1 1,3
comp297 1,3 1,3
comp298 1 1,3
comp391 2 2,4
comp395 2 2
comp400 2 2
comp420 2 0,2
comp74 5 5,15
comp219 0 0,2
comp220 3 1,3
comp235 2 0,2
comp245 9 9
comp246 9 7,9
comp251 4,6 4,6,18
comp254 13 13
